id,escenario,nivel,fraccion,variante,algoritmo,arranque,replica,semilla,presupuesto_ms,commit,estado,minuto_final,pedidos_base,pedidos_instancia,pedidos_registrados,pedidos_entregados,pedidos_incumplidos,pedidos_pendientes,pct_cumplimiento,minuto_primer_incumplido,paquetes_entregados,costo_total,km_total,costo_por_pedido,llamadas,llamadas_fuera_presupuesto,ms_mediana,ms_p90,ms_max,v1_invalidas,v2_incoherentes,saturacion_almacenes_pct,tiempo_pared_s,validez,pct_llamadas_en_presupuesto,minuto_primer_incumplido_c,censurado,sin_incumplidos
5D_N2_ALNS-C_r01,5D,N2,0.5,ALNS-C,ALNS,calido,1,20260901,2000,539370b,CULMINADA,7200,1963,996,996,982,0,14,100.0,-1,3982,89150.0,15185,90.784,266,0,1950.16,1950.395,1952.799,0,0,26.1,509.909,True,100.0,7200,True,True
5D_N2_ALNS-C_r02,5D,N2,0.5,ALNS-C,ALNS,calido,2,20260902,2000,539370b,CULMINADA,7200,1963,1048,1048,1037,0,11,100.0,-1,4149,92759.0,15911,89.449,266,0,1950.13,1950.562,1956.104,0,0,36.6,507.946,True,100.0,7200,True,True
5D_N2_ALNS-C_r03,5D,N2,0.5,ALNS-C,ALNS,calido,3,20260903,2000,539370b,CULMINADA,7200,1963,984,984,976,0,8,100.0,-1,3967,90500.0,15172,92.725,266,0,1950.126,1950.392,1954.249,0,0,31.4,509.87,True,100.0,7200,True,True
5D_N2_ALNS-C_r04,5D,N2,0.5,ALNS-C,ALNS,calido,4,20260904,2000,539370b,CULMINADA,7200,1963,1004,1004,990,1,13,99.899,4250,3894,88378.0,15290,89.271,266,0,1950.145,1950.597,1955.237,0,0,31.8,506.073,True,100.0,4250,False,False
5D_N2_ALNS-C_r05,5D,N2,0.5,ALNS-C,ALNS,calido,5,20260905,2000,539370b,CULMINADA,7200,1963,987,987,975,1,11,99.898,4250,4073,88311.0,14954,90.575,266,0,1950.141,1950.498,1954.469,0,0,31.4,507.96,True,100.0,4250,False,False
5D_N2_ALNS-C_r06,5D,N2,0.5,ALNS-C,ALNS,calido,6,20260906,2000,539370b,CULMINADA,7200,1963,978,978,967,0,11,100.0,-1,3886,89420.0,15329,92.472,266,0,1950.131,1950.446,1954.619,0,0,32.9,509.833,True,100.0,7200,True,True
5D_N2_ALNS-C_r07,5D,N2,0.5,ALNS-C,ALNS,calido,7,20260907,2000,539370b,CULMINADA,7200,1963,972,972,961,1,10,99.896,4279,3939,91777.0,15902,95.502,266,0,1950.15,1950.46,1954.799,0,0,30.0,500.249,True,100.0,4279,False,False
5D_N2_ALNS-C_r08,5D,N2,0.5,ALNS-C,ALNS,calido,8,20260908,2000,539370b,CULMINADA,7200,1963,980,980,967,1,12,99.897,4250,4047,87821.0,14846,90.818,266,0,1950.124,1950.345,1956.179,0,0,31.6,500.108,True,100.0,4250,False,False
5D_N2_ALNS-C_r09,5D,N2,0.5,ALNS-C,ALNS,calido,9,20260909,2000,539370b,CULMINADA,7200,1963,974,974,968,0,6,100.0,-1,3734,89976.0,15444,92.95,266,0,1950.154,1950.525,1952.939,0,0,31.1,502.158,True,100.0,7200,True,True
5D_N2_ALNS-C_r10,5D,N2,0.5,ALNS-C,ALNS,calido,10,20260910,2000,539370b,CULMINADA,7200,1963,972,972,962,2,8,99.793,1398,4052,91934.0,15525,95.565,266,0,1950.159,1950.448,1959.911,0,0,33.8,504.121,True,100.0,1398,False,False
